[distance	 angle	 speed	 height	 possibility] 
 	 146  	 50  	 1  	 7  	 1 
 	 147  	 50  	 1  	 6  	 1 
 	 148  	 50  	 1  	 5  	 1 
 	 149  	 50  	 1  	 4  	 1 
 	 150  	 50  	 1  	 9  	 1 
 	 151  	 50  	 1  	 8  	 1 
 	 152  	 50  	 1  	 7  	 1 
 	 153  	 50  	 1  	 6  	 1 
 	 154  	 50  	 1  	 5  	 1 
 	 155  	 50  	 1  	 4  	 1 
 	 156  	 50  	 1  	 10  	 1 
 	 157  	 50  	 1  	 9  	 1 
 	 158  	 50  	 1  	 7  	 1 
 	 159  	 50  	 1  	 6  	 1 
 	 160  	 50  	 1  	 5  	 1 
 	 161  	 50  	 1  	 4  	 1 
 	 162  	 50  	 1  	 10  	 1 
 	 163  	 50  	 1  	 9  	 1 
 	 164  	 50  	 1  	 8  	 1 
 	 165  	 50  	 1  	 7  	 1 
 	 166  	 50  	 1  	 5  	 1 
 	 167  	 50  	 1  	 4  	 1 
 	 168  	 50  	 1  	 10  	 1 
 	 169  	 50  	 1  	 9  	 1 
 	 170  	 50  	 1  	 8  	 1 
 	 171  	 50  	 1  	 7  	 1 
 	 172  	 50  	 1  	 6  	 1 
 	 173  	 50  	 1  	 5  	 1 
 	 174  	 50  	 1  	 4  	 1 
 	 175  	 50  	 1  	 10  	 1 
 	 176  	 50  	 1  	 9  	 1 
 	 177  	 50  	 1  	 8  	 1 
 	 178  	 50  	 1  	 6  	 1 
 	 179  	 50  	 1  	 5  	 1 
 	 180  	 50  	 1  	 4  	 1 
 	 181  	 50  	 1  	 10  	 1 
 	 182  	 50  	 1  	 9  	 1 
 	 183  	 50  	 1  	 8  	 1 
 	 184  	 50  	 1  	 7  	 1 
 	 185  	 50  	 1  	 6  	 1 
 	 186  	 50  	 1  	 5  	 1 
 	 187  	 50  	 1  	 4  	 1 
 	 188  	 50  	 1  	 10  	 1 
 	 189  	 50  	 1  	 9  	 1 
 	 190  	 50  	 1  	 8  	 1 
 	 191  	 50  	 1  	 7  	 1 
 	 192  	 50  	 1  	 6  	 1 
 	 193  	 50  	 1  	 5  	 1 
 	 194  	 50  	 1  	 3  	 1 
 	 195  	 50  	 1  	 10  	 1 
 	 196  	 50  	 1  	 9  	 1 
 	 197  	 50  	 1  	 8  	 1 
 	 198  	 50  	 1  	 7  	 1 
 	 199  	 50  	 1  	 6  	 1 
 	 200  	 50  	 1  	 4  	 1 
 	 201  	 50  	 1  	 3  	 1 
 	 202  	 50  	 1  	 10  	 1 
 	 203  	 50  	 1  	 9  	 1 
 	 204  	 50  	 1  	 8  	 1 
 	 205  	 50  	 1  	 7  	 1 
 	 206  	 50  	 1  	 6  	 1 
 	 207  	 50  	 1  	 4  	 1 
 	 208  	 50  	 1  	 3  	 1 
 	 209  	 50  	 1  	 10  	 1 
 	 210  	 50  	 1  	 9  	 1 
 	 211  	 50  	 1  	 8  	 1 
 	 212  	 50  	 1  	 7  	 1 
 	 213  	 50  	 1  	 6  	 1 
 	 214  	 50  	 1  	 5  	 1 
 	 215  	 50  	 1  	 3  	 1 
 	 216  	 50  	 1  	 10  	 1 
 	 217  	 50  	 1  	 9  	 1 
 	 218  	 50  	 1  	 8  	 1 
 	 219  	 50  	 1  	 7  	 1 
 	 220  	 50  	 1  	 6  	 1 
 	 221  	 50  	 1  	 5  	 1 
 	 222  	 50  	 1  	 4  	 1 
 	 223  	 50  	 1  	 11  	 1 
 	 224  	 50  	 1  	 10  	 1 
 	 225  	 50  	 1  	 9  	 1 
 	 226  	 50  	 1  	 7  	 1 
 	 227  	 50  	 1  	 6  	 1 
 	 228  	 50  	 1  	 5  	 1 
 	 229  	 50  	 1  	 4  	 1 
 	 230  	 50  	 1  	 3  	 1 
 	 231  	 50  	 1  	 10  	 1 
 	 232  	 50  	 1  	 9  	 1 
 	 233  	 50  	 1  	 8  	 1 
 	 234  	 50  	 1  	 7  	 1 
 	 235  	 50  	 1  	 6  	 1 
 	 236  	 50  	 1  	 5  	 1 
 	 237  	 50  	 1  	 3  	 1 
 	 238  	 50  	 1  	 11  	 1 
